임무(Quests),종류,목표,보상,선행 퀘스트
아는 것이 힘이다 (Informed Means Armed),종합,삼림/세관/인터체인지에 WI-FI 카메라 설치하기 (총 3곳),"+14,000 EXP, 스키어 Rep +0.05, 45,000 루블, FAB Defense UAS 개머리판 2개, CNC Warrior 어댑터 4개, EOTech Vudu 1-6x24 1개",예
떡밥 뿌리기 (Chumming),종합,"금목걸이 3개씩 3곳 (인터체인지, 세관 기숙사, 삼림 제재소)에 놓기, 야간 인터체인지에서 PMC 5명 사살하기","+19,100 EXP, 스키어 Rep +0.05, 65,000 루블, Roler 시계 1개, GP 코인 2개",예
소음기 사용법 (Silent Caliber),사살,"소음기가 장착된 12게이지 산탄총을 사용하여 스캐브 20명, PMC 10명 사살하기","+18,000 EXP, 스키어 Rep +0.05, 100,000 루블, DVL-10 Saboteur 1정, 12/70 makeshift .50 BMG slug (예거 Rep 레벨3 잠금해제)",예
개소리 (Bullshit),탐색,"세관(Customs) 가짜 정보가 들어있는 USB 획득하기, 기숙사 3층에 SV-98, Roler 시계, 가짜 USB 숨겨두기, 퀘스트 중 스캐브 사살 금지","+29,900 EXP, 스키어 Rep +0.07, 펜스 Rep +0.05, 120,000 루블, 1,000 달러, 12/70 RIP 탄약 (교환 잠금해제 - 레벨3), CMMG Mk47 (잠금해제 - 레벨4)",예
준비작업 (Setup),사살,세관(Customs)에서 요구 사항에 맞게 장비를 착용하고 PMC 15명 사살하기,"+21,900 EXP, 스키어 Rep +0.05, 펜스 Rep +0.05, 150,000 루블, Kel-Tec RFB 소총 1정, 12/70 AP-20 100발, 9x19mm RIP 탄약 (잠금해제 - 레벨4)",예
부싯돌 (Flint),스킬,스트레스 저항력 스킬 5레벨 달성하기,"+25,100 EXP, 스키어 Rep +0.05, 150,000 루블, Vodka 3개, ""Pevko Light"" 5개, Miller Bros. Blades M-2 (교환 잠금해제 - 레벨4)",예
무기 대여 - 파트 1 (Lend-Lease - Part 1),획득 및 전달,"삼림/해안선에서 모터 컨트롤러 3개 획득 및 건네주기, 삼림/해안선에서 단일 축 광섬유 자이로스코프 2개 획득 및 건네주기","+17,500 EXP, 스키어 Rep +0.05, 3,000 달러, Armasight N-15 야간투시경 1개, ORSIS T-5000M (잠금해제 - 레벨3)",예
일종의 방해 공작 (Kind of Sabotage),획득 및 전달,보안 케이스 0052 건네주기,"+4,500 EXP, 스키어 Rep +0.04, 180,000 루블",아니요
조작된 게임 (Rigged Game),탐색,"해안선 헬스 리조트/주택/선착장 의약품 상자에 MS2000 마커 설치하기, 살아서 탈출하기","+12,900 EXP, 스키어 Rep +0.05, 150,000 루블, HK MP5 (해군형 3점사) SD 1정, HK MP5 탄창 3개, 9x19mm Luger CCI 120발",예
안전한 통로 (Safe Corridor),사살,리저브(Reserve)맵 지하 창고에 있는 스캐브 10명 사살하기,"+9,000 EXP, 스키어 Rep +0.04, 35,000 루블, 5.45x39mm BP gs 2개, Expeditionary fuel tank 2개",예
야간 작전 (Night Sweep),획득 및 전달,레이드에서 Cultist 광신도의 칼 12개 획득 및 건네주기,"+107,000 EXP, 산탄총 +2 레벨, 6,000 달러, XTG-12 해독제 (제작 잠금 해제 - 의료 시설 2레벨)",아니요
긴 도로 (Long Road),사살,등대(Lighthouse) 지역에서 큰 도로 근처를 돌아다니는 스캐브 15명 사살하기,"+15,300 EXP, 스키어 Rep +0.02, 45,000 루블, DVL-10 Urbana (잠금해제 - 레벨3)",예
사라진 화물 (Missing Cargo),탐험,"등대(Lighthouse)에 추락한 헬리콥터 찾기, 정보원이 가지고 있던 서류철 찾기, 서류 건네주기","+14,000 EXP, 스키어 Rep +0.03, 68,000 루블, Magpul MOE 카빈 개머리판/고무 패드, AK Zenit RK-3 (잠금해제 - 레벨3/4)",예
일급 비밀 (Top Secret),획득 및 전달,"등대(Lighthouse) 레이더기지 사령관실 찾기, 비행 경로가 기록되어 있는 군용 HDD 입수 및 건네주기","+11,700 EXP, 스키어 Rep +0.03, 50,000 루블, Rifle Dynamics RD-704 소총 1정, FAB Defense Ultimag 30R 2개, 7.62x39mm MAI AP 60발",아니요
가택 연금 - 파트 1 (House Arrest - Part 1),탐험,"타르코프 시내(Streets of Tarkov)에서 실종된 그룹이 감금되었던 장소 찾기, 살아서 탈출하기","+28,800 EXP, 스키어 Rep +0.03, 112,000 루블, Kel-Tec RFB 소총 1정",아니요
가택 연금 - 파트 2 (House Arrest - Part 2),탐험,"타르코프 시내(Streets of Tarkov)에서 임시 교도소장의 아파트 찾기, 소장에게 무슨 일이 일어났는지 확인하기, 살아서 탈출하기","+29,200 EXP, 스키어 Rep +0.03, 114,000 루블, TDI KRISS Vector Gen.2 9x19 기관단총 1정",아니요
채무자 (Debtor),탐험,"타르코프 시내(Streets of Tarkov)에서 채무자 찾기, 살아서 탈출하기","+26,600 EXP, 스키어 Rep +0.03, 250,000 루블",아니요
