임무(Quests),종류,목표,보상,선행 퀘스트
전쟁의 피 - 파트 3 (The Blood of War - Part 3),종합,삼림(Woods)에서 연료 저장 장소 3곳에 MS2000 마커 설치 후 생존 탈출,"+21,300 EXP, 래그맨 Rep +0.04, 75,000 루블, HighCom Trooper TFO 방탄복 2개, Mystery Ranch Blackjack 50 배낭 1개, NFM THOR Carrier (잠금해제 - 레벨4)",예
솜씨 좋은 바느질 - 파트 2 (Sew it Good - Part 2),획득 및 전달,"내구도 0~50%, 50~100% 상태의 BNTI Gzhel-K 방탄복 각 1개 획득 및 건네주기","+17,500 EXP, 래그맨 Rep +0.03, ZSh-1-2M, Maska-1SCh, ""Altyn"" 안면 보호대 각 1개",예
성공을 위한 열쇠 (The Key to Success),획득 및 전달,"인터체인지(Interchange)에서 의류 디자인 핸드북 제1권, 제2권 획득 및 건네주기","+15,600 EXP, 래그맨 Rep +0.03, 60,000 루블, Ghost 발라클라바 2개, Eberlestock G2 배낭 (잠금해제 - 레벨3)",예
화낼 필요 없잖아 (No Fuss Needed),평판,테라피스트와의 우호도 3레벨 달성하기,"+15,800 EXP, 래그맨 Rep +0.03, 32,000 루블, ""Altyn"" 방탄 헬멧 1개, HighCom Striker ULACH IIIA 헬멧 (검은색) (잠금해제 - 레벨4)",예
간지나는 놈 (The Stylish One),사살,킬라(Killa) 100번 사살하기,"+EXP, 카리스마 +1 레벨, Adik Tracksuit 의류 (잠금해제 - 레벨3)",아니요
감독관 (Supervisor),획득 및 전달,Goshan cash register key 획득 및 건네주기,"+24,100 EXP, 래그맨 Rep +0.03, 250,000 루블, FORT Defender-2 방탄복 1개, 인터체인지 지도 1개, FORT ""Redut-T5"" 방탄복 (교환 잠금해제 - 레벨4)",예
솜씨 좋은 바느질 - 파트 3 (Sew it Good - Part 3),획득 및 전달,"내구도 0~50%, 50~100% 상태의 6B43 6A 방탄복 각 1개 획득 및 건네주기","+18,200 EXP, 래그맨 Rep +0.03, 65,000 루블, 6B13 강습 방탄복 (Digital Flora) 1개",예
잘 사는 건 죄가 아니야 - 파트 1 (Living High is Not a Crime - Part 1),획득 및 전달,"레이드에서 청동 사자상 2개, 말 조각상 2개, 고양이 조각상 1개, 롤러 서브마리너 골드 손목시계 1개, 황금알 1개 획득 및 건네주기","+19,900 EXP, 래그맨 Rep +0.03, 금목걸이 3개, ""Vulkan-5"" (LShZ-5) 방탄 헬멧 1개",예
Living High is Not a Crime - Part 2 (Living High is Not a Crime - Part 2),획득 및 전달,"레이드에서 앤티크 찻주전자 3개, 앤티크 꽃병 2개, Axel 앵무새 조각상 1개, 까마귀 동상 2개 획득 및 건네주기","+25,900 EXP, 래그맨 Rep +0.05, 110,000 루블, Ars Arma CPC MOD.1 캐리어, Altyn 헬멧 및 안면 보호대, Ars Arma A18 Skanda 캐리어 (교환 잠금해제 - 레벨4)",예
Sew it Good - Part 4 (Sew it Good - Part 4),획득 및 전달,"레이드에서 WARTECH TV-109 + TV-106 리그 2개, BlackRock 체스트 리그 2개 획득 및 건네주기","+18,500 EXP, 래그맨 Rep +0.03, 30,000 루블, ANA Tactical M2 아머 리그",예
Charisma Brings Success (Charisma Brings Success),Skill,카리스마 스킬 레벨 10 도달하기,"+15,600 EXP, 래그맨 Rep +0.03, 60,000 루블, Ars Arma A18 Skanda 플레이트 캐리어",예
Textile - Part 1 (Textile - Part 1),Pickup,"레이드에서 Aramid fabric 5개, Ripstop fabric 10개, Paracord 3개 획득 및 건네주기","+32,000 EXP, 100,000 루블, BEAR TIGR/USEC Commando 하의 (의류 잠금해제 - 레벨3)",아니요
Textile - Part 2 (Textile - Part 2),Pickup,"레이드에서 Fleece fabric 10개, Cordura fabric 10개, KEKTAPE 덕트 테이프 5개 획득 및 건네주기","+34,800 EXP, 100,000 루블, Mystery Ranch Blackjack 50 배낭, BEAR TIGR/USEC TIER2 상의 (의류 잠금해제 - 레벨3)",아니요
Long Line (Long Line),사살,인터체인지(Interchange) ULTRA 몰 내부에서 PMC 30명 제거하기,"+84,000 EXP, 6Sh118 급습 배낭, Rys-T 방탄 헬멧, Ars Arma CPC MOD.1 캐리어 (교환 잠금해제 - 레벨4)",예
Booze (Booze),Pickup,"레이드에서 타르코프스카야 보드카 10개, 댄 재키엘 위스키 10개, 정제수 통 3개, ""Pevko Light"" 맥주 20개 획득 및 건네주기","+107,000 EXP, 주의력 +1 레벨, 제작 +0.5 레벨, 파라코드, 플렉시글라스 10개",예
Audit (Audit),획득 및 전달,타르코프 시내(Streets of Tarkov)에서 재무 기록 획득 및 건네주기,"+8,700 EXP, 래그맨 Rep +0.02, 200,000 루블",아니요
Ballet Lover (Ballet Lover),종합,타르코프 시내(Streets of Tarkov)에서 발레마이스터의 아파트 찾기 후 생존 탈출,"+10,700 EXP, 래그맨 Rep +0.02, 66,000 루블, Eagle Industries ""MMAC"" 캐리어 (Ranger Green)",아니요
Audiophile (Audiophile),획득 및 전달,"타르코프 시내(Streets of Tarkov)에서 음악가 모임 장소 찾기, 각인된 기타 피크 획득 및 건네주기","+17,200 EXP, 래그맨 Rep +0.02, 87,000 루블, Roler 골드 손목시계, 금 해골 반지",아니요
Harley Forever (Harley Forever),탐험,"등대(Lighthouse)에서 오토바이 2대, 타르코프 시내(Streets of Tarkov)에서 오토바이 1대에 MS2000 마커 설치 후 생존 탈출","+22,900 EXP, 래그맨 Rep +0.03, 96,000 루블, 금속 예비 부품, 너트, 볼트",아니요
