임무(Quests),종류,목표,보상,선행 퀘스트
위생 기준 - 파트 1 (Sanitary Standards - Part 1),획득 및 전달,"레이드에서 가스 분석기 획득, 가스 분석기 건네주기","+2,200 EXP, 테라피스트 우호도 +0.03, 14,000 루블, Car 차량용 응급 치료 키트 2개, Car 키트 (잠금해제 - 레벨1)",예
위기 (Crisis),획득 및 전달,"레이드에서 휴대용 제세동기 5개, 검안경 5개, LEDX 3개, Pile of meds 20개, OLOLO Multivitamins 10개 획득 및 건네주기","+97,000 EXP, 면역력/활력/수술 +2 레벨, 의약품 보관함 1개, AFAK 5개, SJ9 주사기 5개",아니요
운동선수 (Athlete),스킬,건강 스킬 10레벨 도달하기,"+21,900 EXP, 테라피스트 우호도 +0.04, 110,000 루블, Dundukk 스포츠 선글라스 1개, Zagustin 3개, Adrenaline 주사기 3개, Adrenaline 주사기 (잠금해제 - 레벨4)",예
연락 두절 (Lost Contact),탐색,"등대(Lighthouse)의 오두막(chalet) 지역에서 실종된 사람들 찾기, 살아서 탈출하기","+7,000 EXP, 테라피스트 우호도 +0.02, 40,000 루블, Grizzly 응급 치료 키트 (교환 잠금해제 - 레벨2)",예
약사 (Pharmacist),획득 및 전달,"세관(Customs)에서 의료장비가 들어있는 가방 획득, 테라피스트에게 가방 건네주기","+5,700 EXP, 테라피스트 우호도 +0.04, 25,000 루블, AFAK 1개, Pile of meds 3개, 6B47 헬멧 (래그맨 우호도 레벨2 잠금해제)",예
신뢰 회복 (Trust Regain),획득 및 전달,"Dorm room 303 key, ZB-014 key, Military checkpoint key, Gas station storage room key 건네주기",테라피스트 우호도 +0.25,아니요
식량 보급 (General Wares),종합,"레이드에서 작은 쇠고기 스튜 통조림 15개 획득, 통조림 15개 건네주기","+4,800 EXP, 테라피스트 우호도 +0.03, 30,000 루블, pacific saury 4개, Iskra 전투식량 2개, Majaica coffee 2개",예
사설 진료소 (Private Clinic),종합,"레이드에서 검안경 획득, LEDX 피부 트랜스일루미네이터 획득, 검안경/LEDX 건네주기","+30,600 EXP, 테라피스트 우호도 +0.05, 130,000 루블, T H I C C 물품 보관함 1개, Health Resort east wing room 306 key 1개",예
보급 계획 (Supply Plans),획득 및 전달,"삼림(Woods) 제재소 숙소에서 보안 케이스 0052 입수, 살아서 탈출하기, 보안 케이스 건네주기","+7,500 EXP, 테라피스트 우호도 +0.04, 75,000 루블, CMS 휴대용 수술 키트 1개",아니요
병력 (Disease History),획득 및 전달,"리저브(Reserve)맵에서 [의무 기록 #1], [의무 기록 #2] 입수 및 건네기","+7,200 EXP, 테라피스트 우호도 +0.03, 30,000 루블, Grizzly 응급 치료 키트 1개, Ibuprofen 1개, CALOK-B 5개",예
물병자리 작전 - 파트 2 (Operation Aquarius - Part 2),사살,세관(Customs)에서 스캐브(Scav) 15명 사살하기,"+3,400 EXP, 테라피스트 우호도 +0.03, 예거 우호도 +0.01, 20,000 루블, Esmarch 3개, Aluminum splint 1개, Army bandage (잠금해제 - 레벨2)",예
물병자리 작전 - 파트 1 (Operation Aquarius - Part 1),획득 및 전달,"세관(Customs) 기숙사에서 물이 숨겨진 호실 찾기, 살아서 탈출하기","+3,300 EXP, 테라피스트 우호도 +0.03, 스키어 우호도 -0.02, 14,000 루블, Water 0.6L 물평 5개, Water filter 1개",예
마약 밀매 (Drug Trafficking),종합,"등대(Lighthouse)의 숨겨진 마약 연구소 찾기, 연구소에 WI-FI 카메라 설치하기","+7,500 EXP, 테라피스트 우호도 +0.03, 45,000 루블, Propital 1개, eTG-change 1개, Zagustin 1개",아니요
동료들 - 파트 3 (Colleagues - Part 3),획득 및 전달,"세니타(Sanitar)를 죽이지 않기, 레이드에서 TerraGroup Labs keycard 10개 획득 및 건네주기, AHF1-M 주사기, 3-(b-TG) 주사기 획득 및 건네주기","+15,800 EXP, 테라피스트 우호도 +0.04, 펜스 우호도 +0.25, 150,000 루블, TerraGroup Labs keycard (Black) 1개, 의약품 보관함 1개, L1 주사기 3개, Meldonin 3개, ""Obdolbos 2"" 5개, Grizzly 4개, TerraGroup Labs keycard (Violet) 2개",아니요
동료들 - 파트 2 (Colleagues - Part 2),획득 및 전달,"세니타의 외과용 장비 획득 및 건네주기, 세니타의 검안경 획득 및 건네주기","+12,400 EXP, 테라피스트 우호도 +0.04, 60,000 루블, Surv12 야전 수술 키트 1개, P22 주사기 1개",예
동료들 - 파트 1 (Colleagues - Part 1),탐험,"헬스 리조트, 부두, 별장으로 보내진 그룹 찾기, 살아서 탈출하기","+12,300 EXP, 테라피스트 우호도 +0.04, 45,000 루블, SJ1 주사기 2개, SJ6 주사기 2개",예
도시 약품 (Urban Medicine),획득 및 전달,"타르코프 시내(Streets of Tarkov)에 위치한 화학 실험실 찾기, 약물이 담긴 보관함 찾기, 보관함 건네주기","+10,200 EXP, 테라피스트 우호도 +0.02, 51,000 루블, Adrenaline 주사기 2개, Zagustin 1개",아니요
